epoch,lr,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.0005999999999999995,2.142940232157707,0.1984375,0.18738450066674403,1.9702319622039794,0.24375,0.15589054375747136
2,0.001,1.9130578190088272,0.2921875,0.2620482540148848,1.725989615917206,0.3875,0.3490068826408178
3,0.0009924798377410427,1.7187778115272523,0.3375,0.32565563066935804,1.604351818561554,0.425,0.37642211195434583
4,0.0009701478472890226,1.608462631702423,0.4015625,0.38535136288501587,1.6775046110153198,0.35,0.3162393684746626
5,0.0009336825748732951,1.537917172908783,0.428125,0.41887416783831266,1.4991252064704894,0.46875,0.4053143327349519
6,0.000884191999343892,1.4483485460281371,0.471875,0.46178895097221584,1.4706783235073089,0.475,0.4238868398006863
7,0.0008231798667948349,1.4409983515739442,0.46875,0.45960169767600717,1.5380733132362365,0.43125,0.38425551740031655
8,0.0007524999999999982,1.326485562324524,0.534375,0.5208764143761526,1.3575918197631835,0.475,0.4422268959746235
9,0.0006742999709462041,1.2542000576853751,0.5640625,0.5522932727503189,1.5009497225284576,0.4625,0.4123287709606559
10,0.0005909558479451289,1.1928173422813415,0.5875,0.5831237432268737,1.2764116942882537,0.49375,0.4772882049512484
11,0.0005049999999999987,1.0956615179777145,0.628125,0.6231291862222722,1.2981708943843842,0.49375,0.48539915526860405
12,0.00041904415205486846,1.0527601182460784,0.634375,0.6282476576171971,1.2096252501010896,0.55,0.5372301657298293
13,0.0003357000290537933,0.9905315309762954,0.6375,0.6346385435205096,1.122456443309784,0.5875,0.577644098591467
14,0.00025749999999999975,0.9201264709234238,0.6828125,0.6799554318625867,1.2469918847084045,0.51875,0.4970456492764078
15,0.00018682013320516278,0.8635723032057285,0.721875,0.7201067641384892,1.1904150307178498,0.53125,0.5243588066759421
16,0.00012580800065610582,0.7835783556103706,0.7421875,0.7409450037083751,1.0707424640655518,0.575,0.5581982306559904
17,7.63174251267028e-05,0.7219838604331017,0.771875,0.7689782894424428,1.1072817504405976,0.58125,0.5635962356028638
